Jugador,Pais,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Min,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado,jugador_id
Kieran Tierney,SCO,Defensa,Arsenal,26,1997.0,19.0,14.0,1245.8,0.6,1.8,2.4,1.2,0.0,0.3199999999999999,1.36,"25,00 mill. €",1707
Kieran Trippier,ENG,Defensa,Newcastle Utd,33,1990.0,20.83333333333333,19.83333333333333,1721.1666666666667,0.5,3.8333333333333335,4.333333333333333,2.0,0.0,0.25,4.233333333333333,"11,00 mill. €",1708
Kiernan Dewsbury-Hall,ENG,Centrocampista,Leicester City,23,1998.0,29.5,25.5,2205.5,1.5,2.0,3.5,4.5,0.5,1.7999999999999998,3.0,"30,00 mill. €",1709
Kike Barja,ESP,Centrocampista,Osasuna,26,1997.0,19.8,9.4,832.8,1.0,2.0,3.0,1.4,0.0,1.22,1.58,"2,50 mill. €",1710
Kike Hermoso,ESP,Defensa,Betis,21,1999.0,1.0,1.0,90.0,1.0,0.0,1.0,0.0,0.0,0.2,0.0,200 mil €,1711
Kike Pérez,ESP,Centrocampista,Valladolid,26,1997.0,17.8,10.2,917.6,0.8,0.4,1.2,3.2,0.0,1.2599999999999998,0.82,"4,50 mill. €",1712
Kike Salas,ESP,Defensa,Sevilla,21,2002.0,4.5,3.0,270.5,1.0,0.5,1.5,1.5,0.5,0.2,0.1,"1,00 mill. €",1713
Kiko Casilla,ESP,PO,Leeds United,34,1986.0,9.0,9.0,810.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0333333333333333,300 mil €,1714
Kiko Femenía,ESP,Defensa,Watford,32,1991.0,20.25,16.5,1428.0,0.0,1.25,1.25,2.5,0.0,0.075,1.525,"2,00 mill. €",1715
Kiko Olivas,ESP,Defensa,Valladolid,31,1988.0,25.0,23.0,2073.333333333333,0.6666666666666666,0.0,0.6666666666666666,3.0,0.0,1.0,0.1,800 mil €,1716
Kiké,ESP,Delantero,Eibar,34,1989.0,30.142857142857142,18.857142857142858,1740.2857142857142,5.285714285714286,0.7142857142857143,6.0,2.7142857142857144,0.1428571428571428,6.714285714285714,1.3714285714285714,"4,50 mill. €",1717
Kim Min-jae,KOR,Defensa,Napoli,25,1996.0,35.0,35.0,3050.0,2.0,2.0,4.0,5.0,0.0,1.0,1.9,"60,00 mill. €",1718
Kingsley Ehizibue,NED,Defensa,Udinese,27,1995.0,27.0,16.0,1535.0,2.0,0.0,2.0,7.0,0.0,2.0,0.9,"2,50 mill. €",1719
