,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada
2898,Mathias Jørgensen,DEN,Defensa,Brentford,32,1990,18,11,1103,0,0,0,2,0,0.9,0.2,2022-2023
2899,Sasa Kalajdzic,AUT,Delantero,Wolves,25,1997,1,1,45,0,0,0,0,0,0.3,0.0,2022-2023
2900,Boubacar Kamara,FRA,Centrocampista,Aston Villa,22,1999,24,21,1777,0,1,1,4,0,0.2,0.8,2022-2023
2901,Harry Kane,ENG,Delantero,Tottenham,29,1993,38,38,3405,30,3,33,6,0,21.5,7.0,2022-2023
2902,N'Golo Kanté,FRA,Centrocampista,Chelsea,31,1991,7,6,518,0,1,1,1,0,0.3,1.9,2022-2023
2903,Michael Keane,ENG,Defensa,Everton,29,1993,12,10,985,1,2,3,0,0,1.3,0.7,2022-2023
2904,Neeskens Kebano,COD,Delantero,Fulham,30,1992,17,9,764,0,3,3,0,0,0.5,1.5,2022-2023
2905,Thilo Kehrer,GER,Defensa,West Ham,25,1996,27,25,2230,0,2,2,4,0,0.5,0.6,2022-2023
2906,Naby Keïta,GUI,Centrocampista,Liverpool,27,1995,8,3,293,0,0,0,1,0,0.6,0.7,2022-2023
2907,Caoimhín Kelleher,IRL,PO,Liverpool,23,1998,1,1,90,0,0,0,0,0,0.0,0.0,2022-2023
2908,Lloyd Kelly,ENG,Defensa,Bournemouth,23,1998,23,23,2040,0,2,2,3,0,0.2,0.5,2022-2023
2909,Max Kilman,ENG,Defensa,Wolves,25,1997,37,37,3307,0,0,0,3,0,1.3,0.2,2022-2023
2910,Jakub Kiwior,POL,Defensa,Arsenal,22,2000,7,5,427,1,0,1,0,0,0.1,0.0,2022-2023
2911,Mateusz Klich,POL,Centrocampista,Leeds United,32,1990,14,0,280,0,0,0,2,0,0.2,0.2,2022-2023
2912,Robin Koch,GER,Defensa,Leeds United,26,1996,36,36,3175,0,0,0,7,0,1.5,0.4,2022-2023
2913,Ibrahima Konaté,FRA,Defensa,Liverpool,23,1999,18,17,1552,0,0,0,5,0,1.2,0.1,2022-2023
2914,Ezri Konsa,ENG,Defensa,Aston Villa,24,1997,38,37,3322,0,0,0,6,0,1.1,1.3,2022-2023
