Unnamed: 0,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
2832,Carlos Bacca,COL,Delantero,Villarreal,30,1986,35,30,2497,15,6,21,9,0,14.0,4.7,450 mil €
2833,Cédric Bakambu,COD,Delantero,Villarreal,26,1991,15,15,1263,9,0,9,5,0,5.9,1.6,"1,80 mill. €"
2834,Zakaria Bakkali,BEL,Delantero,La Coruña,21,1996,23,10,909,0,0,0,5,0,1.2,0.3,-
2835,Gareth Bale,WAL,Delantero,Real Madrid,28,1989,26,20,1799,16,2,18,5,0,11.8,5.0,300 mil €
2836,Mikel Balenziaga,ESP,Defensa,Athletic Club,29,1988,18,18,1549,0,2,2,1,0,0.2,1.0,"3,40 mill. €"
2837,Éver Banega,ARG,Centrocampista,Sevilla,29,1988,31,25,2399,3,3,6,9,1,3.8,6.2,400 mil €
2838,Léo Baptistão,BRA,Delantero,Espanyol,24,1992,36,31,2677,8,3,11,4,0,10.2,2.5,"1,80 mill. €"
2839,Mariano Barbosa,ARG,PO,Villarreal,33,1984,13,12,1125,0,0,0,0,0,0.0,0.0,-
2840,Enis Bardhi,MKD,Centrocampista,Levante,22,1995,26,16,1580,9,1,10,8,0,3.1,1.3,"3,00 mill. €"
2841,Antonio Barragán,ESP,Defensa,Betis,30,1987,29,28,2373,0,6,6,7,0,0.7,2.8,"3,50 mill. €"
2842,Barri,ESP,Centrocampista,Getafe,21,1995,2,1,113,0,0,0,0,0,0.1,0.0,-
2843,Marc Bartra,ESP,Defensa,Betis,26,1991,16,16,1420,1,0,1,6,0,0.8,0.7,"6,00 mill. €"
2844,Borja Bastón,ESP,Delantero,Málaga,24,1992,20,8,985,2,0,2,2,0,5.1,0.1,"6,00 mill. €"
2845,Jon Bautista,ESP,Delantero,Real Sociedad,22,1995,11,1,181,1,0,1,0,0,1.3,0.1,800 mil €
2846,Paul Baysse,FRA,Defensa,Málaga,29,1988,15,13,1239,1,0,1,1,0,1.1,0.0,-
2847,Claudio Beauvue,GLP,Delantero,Leganés,29,1988,28,17,1672,2,0,2,4,0,4.2,1.3,-
2848,Bebé,CPV,Centrocampista,Eibar,27,1990,9,3,365,0,1,1,0,0,0.3,1.7,-
2849,Wissam Ben Yedder,FRA,Delantero,Sevilla,26,1990,25,18,1700,9,3,12,2,1,12.3,2.1,"12,00 mill. €"
2850,Karim Benzema,FRA,Delantero,Real Madrid,29,1987,32,25,2150,5,10,15,0,0,12.8,6.8,-
2851,Markel Bergara,ESP,Centrocampista,Getafe,31,1986,18,18,1463,4,1,5,5,0,2.8,0.0,"15,00 mill. €"
2852,Pedro Bigas,ESP,Defensa,Las Palmas,26,1990,12,11,894,0,0,0,3,0,0.2,0.3,"1,00 mill. €"
2853,Rubén Blanco,ESP,PO,Celta Vigo,22,1995,22,22,1941,0,0,0,3,1,0.0,0.0,"3,00 mill. €"
2854,Emmanuel Boateng,GHA,Delantero,Levante,21,1996,25,10,1276,6,0,6,5,0,7.1,1.3,-
2855,Daniele Bonera,ITA,Defensa,Villarreal,36,1981,15,14,1190,0,1,1,4,1,0.1,0.6,700 mil €
2856,Celso Borges,CRC,Centrocampista,La Coruña,29,1988,32,26,2300,3,3,6,4,1,3.4,2.4,"1,20 mill. €"
