,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
364,Jon Morcillo,ESP,Delantero,Athletic Club,23,1998,10,0,76,0,1,1,0,0,0.1,0.3
365,Alberto Moreno,ESP,Defensa,Villarreal,30,1992,24,14,1296,0,1,1,7,0,0.9,1.4
366,Álex Moreno,ESP,Defensa,Betis,29,1993,15,15,1350,0,3,3,1,0,1.3,1.5
367,Diego Moreno,ESP,Defensa,Osasuna,21,2001,11,7,638,0,0,0,1,0,0.4,0.2
368,Gerard Moreno,ESP,Delantero,Villarreal,30,1992,21,14,1230,7,3,10,4,0,8.7,2.7
369,Tete Morente,ESP,Centrocampista,Elche,25,1996,32,23,2068,4,0,4,5,0,4.2,1.1
370,Ilaix Moriba,GUI,Centrocampista,Valencia,19,2003,24,10,1011,0,2,2,6,2,1.2,1.0
371,Manu Morlanes,ESP,Centrocampista,Villarreal,23,1999,4,2,158,0,0,0,0,1,0.0,0.0
372,Loren Morón,ESP,Delantero,Betis,28,1993,2,0,15,0,0,0,1,0,0.0,0.0
373,Cristhian Mosquera,COL,Defensa,Valencia,18,2004,3,1,145,0,0,0,0,0,0.2,0.0
374,Abdul Mumin,GHA,Defensa,Rayo Vallecano,24,1998,16,9,922,0,0,0,2,0,0.4,0.0
375,Iker Muniain,ESP,Centrocampista,Athletic Club,29,1992,30,19,1689,0,3,3,2,0,3.0,3.9
376,Aihen Muñoz,ESP,Defensa,Real Sociedad,24,1997,23,20,1756,0,1,1,2,0,0.2,0.9
377,Álvaro Muñoz,URU,Delantero,Real Madrid,18,2004,6,0,79,1,1,2,0,0,0.2,0.3
378,Iker Muñoz,ESP,Centrocampista,Osasuna,19,2002,8,2,254,0,0,0,0,0,0.1,0.0
379,Pablo Muñoz,ESP,Centrocampista,Rayo Vallecano,18,2003,2,0,12,0,0,0,0,0,0.0,0.0
380,Vedat Muriqi,KVX,Delantero,Mallorca,28,1994,35,34,2937,15,3,18,6,1,12.5,2.1
381,Yunus Musah,USA,Centrocampista,Valencia,19,2002,33,26,2110,0,2,2,10,1,1.8,1.8
382,Francisco Mwepu,ZAM,Delantero,Cádiz,22,2000,1,0,21,0,0,0,0,0,0.0,0.0
383,Nacho,ESP,Defensa,Real Madrid,32,1990,27,18,1637,1,1,2,7,0,0.8,0.9
384,Juanjo Narváez,COL,Centrocampista,Valladolid,27,1995,5,1,148,0,0,0,0,0,0.2,0.0
385,Matija Nastasić,SRB,Defensa,Mallorca,29,1993,14,10,906,1,0,1,3,0,0.5,0.0
386,Roberto Navarro,ESP,Centrocampista,Real Sociedad,20,2002,17,1,351,0,0,0,2,0,1.0,1.2
