,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
2810,Carlos Vigaray,ESP,Defensa,Alavés,23,1994,8,7,647,0,0,0,1,0,0.0,0.2
2811,Dídac Vilà,ESP,Defensa,Espanyol,29,1989,27,27,2354,0,2,2,11,0,1.9,3.0
2812,Toni Villa,ESP,Centrocampista,Valladolid,23,1995,26,21,1762,2,2,4,3,0,1.9,2.2
2813,Vitolo,ESP,Centrocampista,Atlético Madrid,28,1989,20,5,753,0,1,1,1,0,0.9,1.0
2814,Nikola Vukčević,MNE,Centrocampista,Levante,26,1991,16,9,670,0,0,0,5,1,0.0,0.1
2815,Moussa Wagué,SEN,Defensa,Barcelona,19,1998,3,2,225,0,0,0,1,0,0.1,0.3
2816,Wakaso,GHA,Centrocampista,Alavés,28,1990,29,18,1669,1,1,2,9,0,1.2,0.4
2817,Daniel Wass,DEN,Defensa,Valencia,29,1989,32,26,2354,1,3,4,4,0,1.4,4.3
2818,Axel Werner,ARG,PO,Huesca,22,1996,6,6,540,0,0,0,0,0,0.0,0.0
2819,Iñaki Williams,GHA,Delantero,Athletic Club,24,1994,38,36,3025,13,4,17,3,0,13.1,3.3
2820,Maximilian Wöber,AUT,Defensa,Sevilla,20,1998,7,6,536,0,0,0,2,0,0.2,0.6
2821,Yoel,ESP,PO,Valladolid,29,1988,3,3,270,0,0,0,0,0,0.0,0.0
2822,Okay Yokuşlu,TUR,Centrocampista,Celta Vigo,24,1994,30,26,2198,2,0,2,10,0,1.7,0.7
2823,Joseba Zaldúa,ESP,Defensa,Real Sociedad,26,1992,26,25,2139,1,2,3,7,0,0.1,1.9
2824,Nabil El Zhar,MAR,Centrocampista,Leganés,31,1986,27,9,966,4,0,4,0,0,2.9,0.9
2825,Luca Zidane,FRA,PO,Real Madrid,20,1998,1,1,90,0,0,0,0,0,0.0,0.0
2826,Igor Zubeldia,ESP,Centrocampista,Real Sociedad,21,1997,33,29,2549,0,1,1,7,0,0.5,1.0
2827,Martín Zubimendi,ESP,Centrocampista,Real Sociedad,19,1999,1,0,7,0,0,0,0,0,0.0,0.4
2828,David Zurutuza,ESP,Centrocampista,Real Sociedad,32,1986,21,13,1222,2,0,2,2,0,1.6,0.6
2829,Aly Abeid,MTN,Defensa,Levante,19,1997,1,1,77,0,0,0,0,0,0.0,0.1
2830,Antonio Adán,ESP,PO,Betis,30,1987,30,30,2700,0,2,2,4,0,0.0,0.7
2831,Aday,ESP,Defensa,Girona,29,1987,31,20,1835,2,0,2,10,0,2.8,1.6
2832,Aritz Aduriz,ESP,Delantero,Athletic Club,36,1981,33,21,2152,9,1,10,5,0,11.1,1.5
2833,Imanol Agirretxe,ESP,Delantero,Real Sociedad,30,1987,11,2,232,0,0,0,0,0,1.2,0.0
2834,Matías Aguirregaray,URU,Defensa,Las Palmas,28,1989,15,14,1153,0,0,0,3,0,0.6,0.6
2835,Ager Aketxe,ESP,Centrocampista,Athletic Club,23,1993,3,0,37,0,0,0,1,0,0.1,0.0
2836,David Alba,ESP,Defensa,Getafe,18,1999,1,1,61,0,0,0,0,0,0.0,0.0
2837,Jordi Alba,ESP,Defensa,Barcelona,28,1989,33,30,2744,2,8,10,7,0,2.1,6.1
2838,Raúl Albentosa,ESP,Defensa,La Coruña,28,1988,20,19,1748,1,0,1,5,0,1.5,0.2
