Jugador,País,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado
Kike Salas,ESP,Defensa,Sevilla,21,2002.0,4.5,3.0,270.5,1.0,0.5,1.5,1.5,0.5,0.2,0.1,1000000.0
Kiko Casilla,ESP,PO,Leeds United,34,1986.0,9.0,9.0,810.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03333333333333333,300000.0
Kiko Femenía,ESP,Defensa,Watford,32,1991.0,20.25,16.5,1428.0,0.0,1.25,1.25,2.5,0.0,0.07500000000000001,1.5250000000000001,2000000.0
Kiko Olivas,ESP,Defensa,Valladolid,31,1988.0,25.0,23.0,2073.3333333333335,0.6666666666666666,0.0,0.6666666666666666,3.0,0.0,1.0,0.10000000000000002,800000.0
Kiké,ESP,Delantero,Eibar,34,1989.0,30.142857142857142,18.857142857142858,1740.2857142857142,5.285714285714286,0.7142857142857143,6.0,2.7142857142857144,0.14285714285714285,6.714285714285714,1.3714285714285714,4500000.0
Kim Min-jae,KOR,Defensa,Napoli,25,1996.0,35.0,35.0,3050.0,2.0,2.0,4.0,5.0,0.0,1.0,1.9,60000000.0
Kingsley Ehizibue,NED,Defensa,Udinese,27,1995.0,27.0,16.0,1535.0,2.0,0.0,2.0,7.0,0.0,2.0,0.9,2500000.0
Kingsley Fobi,GHA,Defensa,Granada,21,1998.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0
Kingsley Michael,NGA,Centrocampista,Bologna,21,1999.0,1.5,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,250000.0
Kirian Rodríguez,ESP,Centrocampista,Las Palmas,27,1996.0,14.0,13.0,1147.0,2.0,0.0,2.0,4.0,0.0,0.4,0.4,2500000.0
Kiril Despodov,BUL,Delantero,Cagliari,23,1996.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0
Koba Koindredi,FRA,Centrocampista,Valencia,19,2001.0,6.0,0.5,98.0,0.0,0.0,0.0,0.5,0.0,0.0,0.05,1000000.0
Kobbie Mainoo,ENG,Centrocampista,Manchester Utd,18,2005.0,1.0,0.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0
Koffi Djidji,CIV,Defensa,Torino,29,1992.0,24.0,18.0,1633.5,0.5,0.0,0.5,3.25,0.25,0.45,0.07500000000000001,3000000.0
