,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
3258,Marash Kumbulla,ALB,Defensa,Roma,22,2000,7,5,259,0,0,0,1,1,0.0,0.1
3259,Khvicha Kvaratskhelia,GEO,Delantero,Napoli,21,2001,34,30,2518,12,10,22,1,0,8.2,7.7
3260,Giorgos Kyriakopoulos,GRE,Defensa,Bologna,26,1996,12,8,704,0,2,2,2,0,0.2,0.8
3261,Giorgos Kyriakopoulos,GRE,Delantero,Sassuolo,26,1996,12,9,766,1,1,2,3,0,1.1,1.4
3262,Sam Lammers,NED,Delantero,Sampdoria,25,1997,19,13,1100,1,1,2,1,0,2.5,1.2
3263,Sam Lammers,NED,Delantero,Empoli,25,1997,14,10,883,1,1,2,0,0,2.3,0.7
3264,Kevin Lasagna,ITA,Delantero,Hellas Verona,29,1992,26,17,1572,1,2,3,2,0,6.0,1.7
3265,Armand Lauriente,FRA,Delantero,Sassuolo,23,1998,28,27,2175,7,6,13,10,1,4.7,6.2
3266,Valentino Lazaro,AUT,Defensa,Torino,26,1996,23,15,1373,0,3,3,4,0,0.4,2.7
3267,Marko Lazetić,SRB,Delantero,Milan,18,2004,1,0,9,0,0,0,1,0,0.1,0.0
3268,Darko Lazović,SRB,Centrocampista,Hellas Verona,31,1990,30,27,2242,4,5,9,0,0,3.6,6.4
3269,Manuel Lazzari,ITA,Defensa,Lazio,28,1993,28,22,1879,0,0,0,8,0,0.3,0.7
3270,Rafael Leão,POR,Delantero,Milan,23,1999,35,28,2421,15,8,23,7,1,10.8,7.0
3271,Mehdi Léris,ALG,Centrocampista,Sampdoria,24,1998,32,29,2460,1,1,2,13,0,3.4,1.8
3272,Karol Linetty,POL,Centrocampista,Torino,27,1995,32,22,1886,1,0,1,8,0,1.0,0.9
3273,Marcin Listkowski,POL,Centrocampista,Lecce,24,1998,5,0,77,0,0,0,0,0,0.1,0.0
3274,Diego Llorente,ESP,Defensa,Roma,28,1993,9,5,573,0,0,0,0,0,0.4,0.1
3275,Stanislav Lobotka,SVK,Centrocampista,Napoli,27,1994,38,34,3101,1,1,2,2,0,0.6,1.0
3276,Manuel Locatelli,ITA,Centrocampista,Juventus,24,1998,32,29,2446,0,2,2,8,0,1.5,1.8
3277,Luka Lochoshvili,GEO,Defensa,Cremonese,24,1998,25,22,1839,1,2,3,4,0,0.6,1.1
3278,Ademola Lookman,NGA,Delantero,Atalanta,24,1997,31,20,1729,13,6,19,3,0,9.1,6.6
3279,Maxime Lopez,FRA,Centrocampista,Sassuolo,24,1997,30,25,2296,0,0,0,11,0,1.0,2.1
3280,Matteo Lovato,ITA,Defensa,Salernitana,22,2000,17,8,814,0,0,0,2,0,0.0,0.0
3281,Sandi Lovrić,SVN,Centrocampista,Udinese,24,1998,37,28,2335,5,6,11,4,0,4.8,3.2
3282,Hirving Lozano,MEX,Delantero,Napoli,27,1995,32,20,1605,3,3,6,3,0,5.4,3.3
3283,Jhon Lucumí,COL,Defensa,Bologna,24,1998,33,33,2900,0,1,1,8,0,0.7,0.4
3284,José Luis Palomino,ARG,Defensa,Atalanta,32,1990,15,8,759,1,0,1,4,0,0.5,0.3
