,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
2862,Wilfried Singo,CIV,Defensa,Torino,20,2000,35,32,2607,3,4,7,5,1,2.6,2.5
2863,Salvatore Sirigu,ITA,PO,Genoa,34,1987,37,37,3330,0,0,0,0,0,0.0,0.0
2864,Leo Skiri Østigård,NOR,Defensa,Genoa,21,1999,15,13,1172,0,0,0,4,2,0.3,0.2
2865,Łukasz Skorupski,POL,PO,Bologna,30,1991,36,36,3240,0,0,0,4,0,0.0,0.0
2866,Andreas Skov Olsen,DEN,Delantero,Bologna,21,1999,18,6,747,0,2,2,0,0,0.9,0.4
2867,Milan Škriniar,SVK,Defensa,Inter,26,1995,35,35,3150,3,0,3,3,0,3.2,0.5
2868,Chris Smalling,ENG,Defensa,Roma,31,1989,27,23,2091,3,0,3,0,0,2.4,0.4
2869,Brandon Soppy,FRA,Defensa,Udinese,19,2002,28,7,777,0,0,0,4,0,0.4,0.2
2870,Roberto Soriano,ITA,Centrocampista,Bologna,30,1991,35,32,2622,0,4,4,6,2,2.1,4.8
2871,Riccardo Sottil,ITA,Delantero,Fiorentina,22,1999,24,14,1239,3,2,5,4,1,2.5,2.5
2872,Matìas Soulé,ARG,Delantero,Juventus,18,2003,2,0,5,0,0,0,0,0,0.1,0.0
2873,Adama Soumaoro,FRA,Defensa,Bologna,29,1992,28,26,2266,0,0,0,6,2,0.9,0.0
2874,Leonardo Spinazzola,ITA,Defensa,Roma,28,1993,3,2,127,0,0,0,1,0,0.0,0.1
2875,Marco Sportiello,ITA,PO,Atalanta,29,1992,5,5,450,0,0,0,1,0,0.0,0.0
2876,Luca Stanga,ITA,Defensa,Milan,19,2002,1,0,3,0,0,0,0,0,0.0,0.0
2877,Riccardo Stivanello,ITA,Defensa,Bologna,17,2004,1,0,45,0,0,0,0,0,0.0,0.0
2878,Petar Stojanović,SVN,Defensa,Empoli,25,1995,33,32,2735,1,1,2,11,1,0.6,3.2
2879,Thomas Strakosha,ALB,PO,Lazio,26,1995,23,23,2070,0,0,0,2,0,0.0,0.0
2880,Stefan Strandberg,NOR,Defensa,Salernitana,31,1990,11,11,933,0,0,0,2,1,0.4,0.3
2881,Dávid Strelec,SVK,Delantero,Spezia,20,2001,10,7,502,1,0,1,0,0,0.5,0.9
2882,Kevin Strootman,NED,Centrocampista,Cagliari,31,1990,10,7,640,0,0,0,4,0,0.0,0.2
2883,Jens Stryger Larsen,DEN,Defensa,Udinese,30,1991,11,8,684,0,1,1,0,0,0.5,0.8
2884,Leo Štulac,SVN,Centrocampista,Empoli,26,1994,23,8,833,2,2,4,1,0,0.2,0.4
2885,Stefano Sturaro,ITA,Centrocampista,Genoa,28,1993,25,24,1766,0,0,0,12,0,0.5,0.8
2886,Isaac Success,NGA,Delantero,Udinese,25,1996,22,11,911,2,6,8,1,1,2.1,3.3
2887,Vladyslav Supriaha,UKR,Delantero,Sampdoria,21,2000,1,0,22,0,0,0,0,0,0.0,0.0
2888,Bosko Sutalo,CRO,Defensa,Hellas Verona,21,2000,24,6,920,0,0,0,0,0,0.2,0.0
2889,Mattias Svanberg,SWE,Centrocampista,Bologna,22,1999,36,31,2564,3,3,6,7,0,2.1,2.8
2890,Michael Svoboda,AUT,Defensa,Venezia,22,1998,18,13,1236,0,0,0,2,1,1.1,0.0
2891,Wojciech Szczęsny,POL,PO,Juventus,31,1990,33,33,2970,0,0,0,2,0,0.0,0.1
2892,Adrien Tameze,CMR,Centrocampista,Hellas Verona,27,1994,38,26,2574,4,2,6,4,0,1.2,1.9
2893,Ciprian Tătărușanu,ROU,PO,Milan,35,1986,6,6,540,0,0,0,0,0,0.0,0.0
2894,Filippo Terracciano,ITA,Defensa,Hellas Verona,18,2003,1,0,7,0,0,0,0,0,0.0,0.0
2895,Pietro Terracciano,ITA,PO,Fiorentina,31,1990,32,31,2862,0,0,0,0,0,0.0,0.0
2896,Aleksa Terzić,SRB,Defensa,Fiorentina,21,1999,14,1,274,0,1,1,1,0,0.0,0.4
2897,Tanner Tessmann,USA,Centrocampista,Venezia,19,2001,20,6,680,0,0,0,1,1,0.6,0.1
2898,Arthur Theate,BEL,Defensa,Bologna,21,2000,31,28,2424,2,1,3,6,0,1.5,0.6
2899,Morten Thorsby,NOR,Centrocampista,Sampdoria,25,1996,35,35,2943,3,1,4,10,0,3.2,1.1
2900,Jeremy Toljan,GER,Defensa,Sassuolo,26,1994,20,15,1399,0,1,1,2,0,0.1,1.3
2901,Rafael Tolói,ITA,Defensa,Atalanta,30,1990,20,16,1438,1,1,2,6,0,1.1,0.5
2902,Takehiro Tomiyasu,JPN,Defensa,Bologna,22,1998,1,0,10,0,0,0,0,0,0.0,0.1
2903,Fikayo Tomori,ENG,Defensa,Milan,23,1997,31,30,2718,0,0,0,4,0,1.1,0.1
2904,Sandro Tonali,ITA,Centrocampista,Milan,21,2000,36,31,2600,5,2,7,9,0,4.1,4.0
2905,Lorenzo Tonelli,ITA,Defensa,Empoli,31,1990,14,8,870,0,0,0,4,0,0.4,0.3
2906,Ernesto Torregrossa,VEN,Delantero,Sampdoria,29,1992,10,0,116,0,0,0,1,0,0.0,0.1
2907,Lucas Torreira,URU,Centrocampista,Fiorentina,25,1996,31,26,2195,5,1,6,10,1,5.3,2.1
2908,Abdoulaye Touré,GUI,Centrocampista,Genoa,27,1994,8,6,430,0,0,0,1,0,0.1,0.0
2909,Simone Trimboli,ITA,Centrocampista,Sampdoria,19,2002,5,0,65,0,0,0,1,0,0.0,0.4
2910,Axel Tuanzebe,ENG,Defensa,Napoli,23,1997,1,0,11,0,0,0,0,0,0.0,0.0
2911,Destiny Udogie,ITA,Defensa,Udinese,18,2002,35,29,2477,5,3,8,4,0,4.4,2.3
2912,Maximilian Ullmann,AUT,Defensa,Venezia,25,1996,5,2,246,0,0,0,0,0,0.0,0.0
2913,Kacper Urbanski,POL,Centrocampista,Bologna,16,2004,1,0,45,0,0,0,0,0,0.0,0.0
2914,Antonio Vacca,ITA,Centrocampista,Venezia,31,1990,21,15,1064,0,0,0,5,0,0.0,0.3
2915,Zinho Vanheusden,BEL,Defensa,Genoa,22,1999,14,11,989,0,0,0,3,0,0.2,0.1
2916,Johan Vásquez,MEX,Defensa,Genoa,22,1998,28,27,2279,1,0,1,7,0,0.8,0.1
2917,Denis Vavro,SVK,Defensa,Lazio,25,1996,1,0,8,0,0,0,0,0,0.0,0.0
2918,Matías Vecino,URU,Centrocampista,Inter,29,1991,17,2,377,1,0,1,2,0,1.4,0.9
2919,Miguel Veloso,POR,Centrocampista,Hellas Verona,35,1986,22,17,1343,0,3,3,7,1,0.5,1.5
2920,Lorenzo Venuti,ITA,Defensa,Fiorentina,26,1995,23,20,1571,0,0,0,4,0,0.2,0.3
2921,Daniele Verde,ITA,Delantero,Spezia,25,1996,33,21,1957,8,6,14,2,0,5.4,4.9
2922,Simone Verdi,ITA,Centrocampista,Torino,29,1992,3,0,46,1,0,1,0,0,0.2,0.0
2923,Simone Verdi,ITA,Delantero,Salernitana,29,1992,15,11,829,5,0,5,3,0,3.4,1.3
2924,Jordan Veretout,FRA,Centrocampista,Roma,28,1993,36,26,2319,4,8,12,6,0,4.6,5.4
2925,Edoardo Vergani,ITA,Delantero,Salernitana,20,2001,6,1,102,0,0,0,0,0,0.0,0.0
2926,Valerio Verre,ITA,Centrocampista,Sampdoria,27,1994,11,6,420,0,0,0,0,0,0.8,0.2
2927,Valerio Verre,ITA,Centrocampista,Empoli,27,1994,8,4,310,0,1,1,2,1,0.6,0.6
2928,Freddie Veseli,ALB,Defensa,Salernitana,28,1992,9,8,596,0,0,0,3,1,0.0,0.0
2929,Guglielmo Vicario,ITA,PO,Empoli,24,1996,38,38,3420,0,0,0,1,0,0.0,0.0
2930,Arturo Vidal,CHI,Centrocampista,Inter,34,1987,28,2,741,1,1,2,3,0,2.0,1.6
2931,Ronaldo Vieira,ENG,Centrocampista,Sampdoria,23,1998,14,4,495,0,0,0,3,0,0.1,0.0
2932,Luca Vignali,ITA,Defensa,Spezia,25,1996,2,1,85,0,0,0,0,0,0.0,0.0
2933,Emanuel Vignato,ITA,Centrocampista,Bologna,20,2000,24,3,594,0,1,1,2,0,0.3,2.2
2934,Matías Viña,URU,Defensa,Roma,23,1997,26,18,1565,0,1,1,2,0,0.6,1.1
2935,Nicolas Viola,ITA,Centrocampista,Bologna,31,1989,6,1,102,0,0,0,0,0,0.0,0.0
2936,Mattia Viti,ITA,Defensa,Empoli,19,2002,20,16,1491,0,0,0,3,1,0.4,0.0
2937,Dušan Vlahović,SRB,Delantero,Fiorentina,21,2000,21,21,1857,17,2,19,2,0,12.9,1.8
2938,Dušan Vlahović,SRB,Delantero,Juventus,21,2000,15,12,1076,7,1,8,2,0,5.2,1.1
2939,Mërgim Vojvoda,KVX,Defensa,Torino,26,1995,29,22,1976,0,3,3,3,0,1.2,2.3
2940,Cristian Volpato,ITA,Delantero,Roma,17,2003,3,0,38,1,0,1,0,0,0.1,0.0
2941,Stefan de Vrij,NED,Defensa,Inter,29,1992,30,28,2410,0,0,0,3,0,2.6,0.0
2942,Walace,BRA,Centrocampista,Udinese,26,1995,36,33,2970,1,0,1,6,1,1.5,1.8
2943,Sebastian Walukiewicz,POL,Defensa,Cagliari,21,2000,7,4,302,0,0,0,1,0,0.4,0.0
2944,Magnus Warming,DEN,Centrocampista,Torino,21,2000,4,0,58,0,0,0,0,0,0.0,0.0
2945,Kelvin Yeboah,ITA,Delantero,Genoa,21,2000,17,9,850,0,1,1,2,0,1.1,1.4
2946,Gerard Yepes,ESP,Centrocampista,Sampdoria,18,2002,4,0,21,0,0,0,0,0,0.0,0.0
2947,Maya Yoshida,JPN,Defensa,Sampdoria,32,1988,26,19,1823,2,3,5,2,0,1.0,1.9
2948,Mattia Zaccagni,ITA,Centrocampista,Hellas Verona,26,1995,2,2,180,2,0,2,0,0,1.1,1.1
2949,Mattia Zaccagni,ITA,Delantero,Lazio,26,1995,29,21,1876,4,5,9,6,0,3.2,2.9
2950,Denis Zakaria,SUI,Centrocampista,Juventus,24,1996,9,6,597,1,1,2,1,0,1.5,0.1
2951,Nicola Zalewski,POL,Defensa,Roma,19,2002,16,9,793,0,0,0,1,0,0.4,0.5
2952,Andre-Frank Zambo Anguissa,CMR,Centrocampista,Napoli,25,1995,25,21,1926,0,1,1,5,0,1.1,1.1
2953,Nicolò Zaniolo,ITA,Delantero,Roma,22,1999,28,23,1971,2,1,3,12,2,5.6,2.9
2954,Alessandro Zanoli,ITA,Defensa,Napoli,20,2000,12,5,457,0,0,0,2,0,0.0,0.1
2955,Mattia Zanotti,ITA,Defensa,Inter,18,2003,1,0,9,0,0,0,0,0,0.0,0.1
2956,Duván Zapata,COL,Delantero,Atalanta,30,1991,24,20,1722,10,4,14,3,0,13.5,4.4
2957,Gabriele Zappa,ITA,Defensa,Cagliari,21,1999,25,11,1144,0,0,0,4,1,0.6,0.7
2958,Davide Zappacosta,ITA,Defensa,Atalanta,29,1992,34,29,2345,1,5,6,6,0,2.1,4.0
2959,Simone Zaza,ITA,Delantero,Torino,30,1991,10,0,129,0,0,0,1,0,1.0,0.0
2960,Marvin Zeegelaar,NED,Defensa,Udinese,30,1990,14,6,643,0,0,0,2,0,0.1,0.0
2961,Piotr Zieliński,POL,Centrocampista,Napoli,27,1994,35,26,2086,6,5,11,1,0,3.4,3.9
2962,David Zima,CZE,Defensa,Torino,20,2000,20,13,1314,0,0,0,3,0,0.7,0.6
2963,Jeroen Zoet,NED,PO,Spezia,30,1991,7,7,630,0,0,0,0,0,0.0,0.0
2964,Nadir Zortea,ITA,Defensa,Salernitana,22,1999,29,13,1410,1,2,3,3,0,0.5,1.5
2965,Petar Zovko,BIH,PO,Spezia,19,2002,1,0,29,0,0,0,1,0,0.0,0.0
2966,Szymon Żurkowski,POL,Centrocampista,Empoli,23,1997,35,29,2307,6,2,8,5,0,3.7,1.6
2967,Milan Đurić,BIH,Delantero,Salernitana,31,1990,33,23,2165,5,4,9,6,0,5.3,3.3
2968,Filip Đuričić,SRB,Centrocampista,Sassuolo,29,1992,12,9,671,2,1,3,1,0,2.0,1.6
2969,James Abankwah,IRL,Defensa,Udinese,18,2004,2,1,63,0,0,0,0,0,0.0,0.0
2970,Oliver Abildgaard,DEN,Centrocampista,Hellas Verona,26,1996,13,6,592,0,0,0,2,0,0.1,0.4
2971,Tammy Abraham,ENG,Delantero,Roma,24,1997,38,24,2189,8,3,11,2,0,10.8,3.6
2972,Christian Acella,ITA,Centrocampista,Cremonese,20,2002,1,0,15,0,0,0,0,0,0.0,0.0
2973,Francesco Acerbi,ITA,Defensa,Inter,34,1988,31,25,2425,0,2,2,4,0,1.0,1.1
2974,Yacine Adli,FRA,Centrocampista,Milan,22,2000,6,1,144,0,0,0,1,0,0.1,0.3
2975,Michel Aebischer,SUI,Delantero,Bologna,25,1997,32,18,1542,1,0,1,4,0,1.5,0.6
2976,Felix Afena-Gyan,GHA,Delantero,Cremonese,19,2003,23,7,817,0,0,0,4,0,1.9,0.1
2977,Kevin Agudelo,COL,Centrocampista,Spezia,23,1998,34,23,2131,0,1,1,5,0,1.5,3.0
2978,Ola Aina,NGA,Defensa,Torino,25,1996,19,9,876,1,1,2,5,0,0.8,2.1
2979,Emanuel Aiwum,AUT,Defensa,Cremonese,21,2000,23,17,1653,0,0,0,3,0,0.2,0.4
2980,Jean-Daniel Akpa-Akpro,CIV,Centrocampista,Empoli,29,1992,24,16,1356,1,1,2,9,2,1.5,1.0
2981,Luis Alberto,ESP,Centrocampista,Lazio,29,1992,35,27,2442,6,7,13,4,0,4.4,7.0
2982,Agustín Álvarez Martínez,URU,Delantero,Sassuolo,21,2001,22,1,368,1,1,2,1,0,1.5,0.4
2983,Kelvin Amian,FRA,Defensa,Spezia,24,1998,30,26,2372,0,1,1,7,1,2.7,2.3
2984,Bruno Amione,ARG,Defensa,Hellas Verona,20,2002,1,1,58,0,0,0,1,0,0.0,0.0
2985,Bruno Amione,ARG,Defensa,Sampdoria,20,2002,26,25,2086,1,1,2,10,1,0.9,0.6
2986,Ethan Ampadu,WAL,Defensa,Spezia,21,2000,31,31,2639,0,1,1,10,1,1.1,1.1
2987,Sofyan Amrabat,MAR,Centrocampista,Fiorentina,25,1996,29,24,1998,0,1,1,11,0,0.5,1.1
2988,Felipe Anderson,BRA,Delantero,Lazio,29,1993,38,35,2958,9,2,11,3,0,6.0,4.8
2989,Janis Antiste,FRA,Delantero,Sassuolo,19,2002,2,0,52,1,0,1,0,0,0.2,0.0
2990,Marcos Antônio,BRA,Centrocampista,Lazio,22,2000,16,6,594,1,1,2,2,0,1.2,0.3
2991,Valentin Antov,BUL,Defensa,Monza,21,2000,9,2,306,0,0,0,2,0,0.0,0.0
2992,Marko Arnautović,AUT,Delantero,Bologna,33,1989,21,18,1530,10,0,10,5,0,7.2,1.9
2993,Tolgay Arslan,GER,Centrocampista,Udinese,31,1990,36,12,1211,1,0,1,3,0,2.2,1.6
2994,Arthur,BRA,Delantero,Fiorentina,24,1998,28,15,1432,8,1,9,4,0,7.9,0.8
2995,Santiago Ascacíbar,ARG,Centrocampista,Cremonese,25,1997,13,7,727,0,0,0,1,0,0.4,0.4
2996,Kristoffer Askildsen,NOR,Centrocampista,Lecce,21,2001,21,7,728,0,0,0,3,0,0.5,0.3
2997,Kristjan Asllani,ALB,Centrocampista,Inter,20,2002,20,5,592,0,0,0,2,0,0.5,0.9
2998,Emil Audero,ITA,PO,Sampdoria,25,1997,25,25,2250,0,0,0,1,0,0.0,0.0
2999,Tommaso Augello,ITA,Defensa,Sampdoria,27,1994,37,35,3061,2,5,7,3,0,1.0,3.9
3000,Kaan Ayhan,TUR,Defensa,Sassuolo,27,1994,10,5,545,0,0,0,1,0,0.0,0.0
3001,Jaime Báez,URU,Defensa,Cremonese,27,1995,2,1,96,0,0,0,0,0,0.1,0.1
3002,Nedim Bajrami,ALB,Centrocampista,Empoli,23,1999,19,8,940,1,1,2,1,0,1.2,1.2
3003,Nedim Bajrami,ALB,Delantero,Sassuolo,23,1999,18,7,819,1,0,1,0,0,1.9,1.5
3004,Tiemoué Bakayoko,FRA,Centrocampista,Milan,27,1994,3,0,41,0,0,0,0,0,0.0,0.0
3005,Tommaso Baldanzi,ITA,Centrocampista,Empoli,19,2003,26,24,1772,4,0,4,2,0,2.4,1.8
3006,Fodé Ballo-Touré,SEN,Defensa,Milan,25,1997,10,5,523,1,0,1,0,0,0.6,0.2
3007,Lameck Banda,ZAM,Delantero,Lecce,21,2001,36,19,1636,2,1,3,6,0,3.1,1.3
3008,Filippo Bandinelli,ITA,Centrocampista,Empoli,27,1995,35,28,2263,2,0,2,10,0,1.7,2.6
3009,Antonín Barák,CZE,Centrocampista,Hellas Verona,27,1994,1,0,25,0,0,0,0,0,0.0,0.0
3010,Antonín Barák,CZE,Centrocampista,Fiorentina,27,1994,30,21,1799,2,0,2,4,0,2.6,1.6
3011,Andrea Barberis,ITA,Centrocampista,Monza,28,1993,9,3,338,0,1,1,0,0,0.1,0.4
3012,Tommaso Barbieri,ITA,Defensa,Juventus,19,2002,3,2,109,0,0,0,0,0,0.0,0.0
3013,Francesco Bardi,ITA,PO,Bologna,30,1992,1,1,90,0,0,0,0,0,0.0,0.0
3014,Nicolò Barella,ITA,Centrocampista,Inter,25,1997,35,31,2613,6,6,12,6,0,3.2,5.6
3015,Enzo Barrenechea,ARG,Centrocampista,Juventus,21,2001,3,3,158,0,0,0,0,0,0.1,0.0
3016,Musa Barrow,GAM,Delantero,Bologna,23,1998,32,26,1960,3,8,11,3,0,3.0,4.7
3017,Federico Baschirotto,ITA,Defensa,Lecce,25,1996,37,37,3330,3,0,3,6,0,1.9,0.7
3018,Toma Bašić,CRO,Centrocampista,Lazio,25,1996,25,4,513,1,0,1,2,0,1.8,0.4
3019,Alberto Basso,ITA,Centrocampista,Cremonese,18,2004,1,0,16,0,0,0,0,0,0.0,0.0
3020,Alessandro Bastoni,ITA,Defensa,Inter,23,1999,29,26,2157,0,2,2,3,0,1.0,2.7
3021,Simone Bastoni,ITA,Centrocampista,Spezia,25,1996,19,15,1189,2,4,6,7,0,1.1,1.7
3022,Rodrigo Becão,BRA,Defensa,Udinese,26,1996,28,28,2484,2,1,3,11,1,1.5,0.6
3023,Julius Beck,DEN,Centrocampista,Spezia,17,2005,1,0,10,0,0,0,0,0,0.0,0.0
3024,Raoul Bellanova,ITA,Defensa,Inter,22,2000,18,3,496,0,0,0,0,0,0.6,0.4
3025,Andrea Belotti,ITA,Delantero,Roma,28,1993,31,11,1146,0,2,2,0,0,3.5,1.6
3026,Marco Benassi,ITA,Defensa,Fiorentina,27,1994,2,1,93,0,0,0,0,0,0.0,0.1
3027,Marco Benassi,ITA,Centrocampista,Cremonese,27,1994,15,11,998,0,0,0,1,0,1.3,0.4
3028,Ismaël Bennacer,ALG,Centrocampista,Milan,24,1997,28,24,2007,2,2,4,5,0,1.0,3.3
3029,Domenico Berardi,ITA,Delantero,Sassuolo,27,1994,26,22,1866,12,7,19,7,0,11.4,6.6
3030,Bartosz Bereszyński,POL,Defensa,Sampdoria,30,1992,15,15,1198,0,0,0,1,0,0.1,0.1
3031,Bartosz Bereszyński,POL,Defensa,Napoli,30,1992,3,2,166,0,1,1,1,0,0.0,0.2
3032,Marco Bertini,ITA,Centrocampista,Lazio,19,2002,1,0,1,0,0,0,0,0,0.0,0.0
3033,Beto,GNB,Delantero,Udinese,24,1998,33,23,2129,10,1,11,2,0,10.9,2.6
3034,Matteo Bianchetti,ITA,Defensa,Cremonese,29,1993,25,22,2132,1,0,1,5,0,0.8,0.5
3035,Alessandro Bianco,ITA,Centrocampista,Fiorentina,19,2002,7,2,153,0,0,0,1,0,0.1,0.0
3036,Jaka Bijol,SVN,Defensa,Udinese,23,1999,32,32,2728,3,2,5,10,0,2.2,1.6
3037,Cristiano Biraghi,ITA,Defensa,Fiorentina,29,1992,33,30,2551,2,4,6,1,0,1.8,5.5
3038,Samuele Birindelli,ITA,Defensa,Monza,23,1999,31,14,1400,0,1,1,8,0,1.1,2.2
3039,Kristijan Bistrović,CRO,Centrocampista,Lecce,24,1998,11,5,461,0,0,0,0,0,0.3,0.4
3040,Alexis Blin,FRA,Centrocampista,Lecce,25,1996,35,26,2376,1,0,1,8,0,2.8,1.1
3041,Jeremie Boga,CIV,Centrocampista,Atalanta,25,1997,23,5,782,2,5,7,0,0,1.9,2.8
3042,Emil Bohinen,NOR,Centrocampista,Salernitana,23,1999,24,9,832,0,0,0,0,0,0.1,0.7
3043,Giacomo Bonaventura,ITA,Centrocampista,Fiorentina,32,1989,30,21,1911,5,1,6,4,1,4.3,3.1
3044,Federico Bonazzoli,ITA,Delantero,Salernitana,25,1997,24,12,1119,2,1,3,1,0,2.4,1.1
3045,Warren Bondo,FRA,Centrocampista,Monza,18,2003,4,0,60,0,0,0,1,0,0.1,0.0
3046,Kevin Bonifazi,ITA,Defensa,Bologna,26,1996,13,9,902,0,0,0,2,0,0.2,0.0
3047,Leonardo Bonucci,ITA,Defensa,Juventus,35,1987,16,9,879,1,0,1,2,0,1.1,0.2
3048,Erik Botheim,NOR,Centrocampista,Salernitana,22,2000,28,9,866,1,3,4,2,0,0.6,1.8
3049,Mehdi Bourabia,MAR,Centrocampista,Spezia,30,1991,37,36,2771,1,3,4,3,0,2.1,4.4
3050,Edoardo Bove,ITA,Centrocampista,Roma,20,2002,22,10,992,1,0,1,2,0,0.8,0.9
3051,Jayden Braaf,NED,Centrocampista,Hellas Verona,19,2002,6,2,288,0,0,0,1,0,0.8,0.1
3052,Domagoj Bradarić,CRO,Defensa,Salernitana,22,1999,31,24,2250,0,3,3,5,0,0.2,2.3
3053,Josip Brekalo,CRO,Delantero,Fiorentina,24,1998,6,1,229,0,0,0,1,0,0.7,0.5
3054,Gleison Bremer,BRA,Defensa,Juventus,25,1997,30,30,2634,4,1,5,6,0,4.9,1.7
3055,Dylan Bronn,TUN,Defensa,Salernitana,27,1995,24,19,1683,0,0,0,5,1,0.7,0.4
3056,Marcelo Brozović,CRO,Centrocampista,Inter,29,1992,28,19,1770,3,5,8,8,0,2.5,2.8
3057,Cristian Buonaiuto,ITA,Centrocampista,Cremonese,29,1992,29,7,980,1,0,1,3,0,3.3,1.8
3058,Alessandro Buongiorno,ITA,Defensa,Torino,23,1999,34,30,2721,1,2,3,8,0,2.2,1.3
3059,Leonardo Buta,POR,Defensa,Udinese,20,2002,2,0,16,0,0,0,0,0,0.0,0.0
3060,Juan Cabal,COL,Defensa,Hellas Verona,21,2001,11,3,444,0,0,0,3,0,0.0,0.3
3061,Liberato Cacace,NZL,Defensa,Empoli,21,2000,12,5,587,0,0,0,1,0,0.6,0.6
3062,Davide Calabria,ITA,Defensa,Milan,25,1996,25,21,1690,1,4,5,6,0,1.2,1.7
3063,Mattia Caldara,ITA,Defensa,Spezia,28,1994,20,13,1253,0,0,0,6,0,0.8,0.0
3064,Luca Caldirola,ITA,Defensa,Monza,31,1991,31,27,2353,2,0,2,6,0,1.1,0.5
3065,Hakan Çalhanoğlu,TUR,Centrocampista,Inter,28,1994,33,28,2363,3,6,9,3,0,3.1,5.0
3066,Mohamed Camara,GUI,Centrocampista,Roma,25,1997,15,8,696,0,0,0,3,0,0.6,0.4
3067,Nicolò Cambiaghi,ITA,Delantero,Empoli,21,2000,28,12,1285,6,1,7,5,1,3.4,1.1
3068,Andrea Cambiaso,ITA,Defensa,Bologna,22,2000,32,25,2170,0,3,3,2,0,0.9,2.4
3069,Matteo Cancellieri,ITA,Delantero,Lazio,20,2002,20,1,256,0,0,0,4,0,0.4,0.4
3070,Antonio Candreva,ITA,Centrocampista,Salernitana,35,1987,35,32,2726,7,4,11,3,1,3.7,4.7
3071,Gianluca Caprari,ITA,Centrocampista,Monza,29,1993,37,32,2441,5,2,7,7,0,5.0,2.5
3072,Francesco Caputo,ITA,Delantero,Sampdoria,34,1987,15,13,1094,1,0,1,0,0,1.9,0.5
3073,Francesco Caputo,ITA,Delantero,Empoli,34,1987,21,20,1708,5,4,9,1,0,7.5,2.2
3074,Andrea Carboni,ITA,Defensa,Monza,21,2001,4,1,167,0,0,0,0,0,0.1,0.1
3075,Franco Carboni,ITA,Defensa,Monza,19,2003,3,0,66,0,0,0,0,0,0.1,0.0
3076,Valentin Carboni,ARG,Centrocampista,Inter,17,2005,5,0,25,0,0,0,0,0,0.0,0.0
3077,Carlos,BRA,Defensa,Monza,23,1999,35,35,3083,6,5,11,4,0,4.4,3.7
3078,Marco Carnesecchi,ITA,PO,Cremonese,22,2000,27,27,2430,0,1,1,1,0,0.0,0.2
3079,Nicolò Casale,ITA,Defensa,Lazio,24,1998,29,27,2437,1,1,2,6,0,0.6,0.3
3080,Tommaso Cassandro,ITA,Defensa,Lecce,22,2000,1,0,13,0,0,0,0,0,0.0,0.0
3081,Michele Castagnetti,ITA,Centrocampista,Cremonese,32,1989,27,14,1412,0,1,1,2,0,0.6,1.8
3082,Gaetano Castrovilli,ITA,Centrocampista,Fiorentina,25,1997,15,7,718,2,1,3,3,0,1.2,1.1
3083,Danilo Cataldi,ITA,Centrocampista,Lazio,27,1994,29,26,1921,0,1,1,5,0,0.2,1.1
3084,Pietro Ceccaroni,ITA,Defensa,Lecce,26,1995,2,0,43,0,0,0,0,0,0.1,0.2
3085,Federico Ceccherini,ITA,Defensa,Hellas Verona,30,1992,22,18,1417,2,0,2,9,1,0.8,0.2
3086,Assan Ceesay,GAM,Delantero,Lecce,28,1994,34,20,1812,6,0,6,2,0,5.1,0.8
3087,Emil Ceide,NOR,Delantero,Sassuolo,20,2001,19,5,515,0,1,1,0,0,0.8,1.3
3088,Zeki Çelik,TUR,Defensa,Roma,25,1997,24,16,1504,0,1,1,7,1,0.3,1.6
3089,Michele Cerofolini,ITA,PO,Fiorentina,23,1999,5,5,450,0,0,0,0,0,0.0,0.0
3090,Federico Chiesa,ITA,Defensa,Juventus,24,1997,21,6,852,2,5,7,2,0,1.5,2.6
3091,Vlad Chiricheș,ROU,Defensa,Cremonese,32,1989,16,14,983,0,0,0,2,0,0.0,0.0
3092,Daniel Ciofani,ITA,Delantero,Cremonese,37,1985,32,10,1060,8,0,8,1,0,5.5,0.7
3093,Tio Cipot,SVN,Delantero,Spezia,19,2003,8,0,139,0,0,0,0,0,0.0,0.1
3094,Patrick Ciurria,ITA,Defensa,Monza,27,1995,36,31,2753,6,5,11,4,0,4.8,5.5
3095,Nicolò Cocetta,ITA,Defensa,Udinese,18,2003,1,0,32,0,0,0,0,0,0.0,0.0
3096,Omar Colley,GAM,Defensa,Sampdoria,29,1992,16,15,1384,1,0,1,5,0,1.2,0.0
3097,Lorenzo Colombo,ITA,Delantero,Lecce,20,2002,33,18,1515,5,2,7,4,0,6.2,1.4
3098,Andrea Colpani,ITA,Centrocampista,Monza,23,1999,27,10,948,4,1,5,1,0,2.1,1.9
3099,Andrea Consigli,ITA,PO,Sassuolo,35,1987,35,35,3150,0,0,0,0,0,0.0,0.0
3100,Andrea Conti,ITA,Defensa,Sampdoria,28,1994,1,0,23,0,0,0,0,0,0.0,0.0
3101,Diego Coppola,ITA,Defensa,Hellas Verona,18,2003,19,11,1177,0,0,0,5,0,0.3,0.0
3102,Alex Cordaz,ITA,PO,Inter,39,1983,1,0,26,0,0,0,0,0,0.0,0.0
3103,Joaquín Correa,ARG,Delantero,Inter,27,1994,26,12,950,3,1,4,1,0,3.4,1.3
3104,Alessandro Cortinovis,ITA,Centrocampista,Hellas Verona,21,2001,1,0,6,0,0,0,0,0,0.0,0.0
