RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
61,Alejandro Blanco,es ESP,CC,Valencia,21,1998,13,6,580,6.4,1,0,1,1,0,0,1,0,0.5,0.5,0.5,0.9,17,2,44,0.16,0.00,0.16,0.16,0.16,0.07,0.08,0.15,0.07,0.15,Partidos
62,Rubén Blanco,es ESP,PO,Celta Vigo,25,1995,19,19,1637,18.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
63,Alejandro Blesa,es ESP,CC,Levante,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
64,Yann Bodiger,fr FRA,CC,Cádiz,25,1995,9,2,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,8,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidos
65,Yassine Bounou,ma MAR,PO,Sevilla,29,1991,33,33,2970,33.0,1,0,1,1,0,0,3,0,0.2,0.2,0.0,0.2,0,0,0,0.03,0.00,0.03,0.03,0.03,0.01,0.00,0.01,0.01,0.01,Partidos
66,Lucas Boyé,ar ARG,DL,Elche,24,1996,34,32,2694,29.9,7,2,9,7,0,0,9,1,5.2,5.2,1.1,6.3,43,54,117,0.23,0.07,0.30,0.23,0.30,0.17,0.04,0.21,0.17,0.21,Partidos
67,Martin Braithwaite,dk DEN,DL,Barcelona,29,1991,29,11,1175,13.1,2,2,4,2,0,1,3,0,5.4,4.6,2.3,6.9,20,15,91,0.15,0.15,0.31,0.15,0.31,0.41,0.18,0.59,0.35,0.53,Partidos
68,Darko Brašanac,rs SRB,CC,Osasuna,28,1992,16,9,909,10.1,2,0,2,2,0,0,4,0,0.9,0.9,0.1,1.1,22,40,46,0.20,0.00,0.20,0.20,0.20,0.09,0.01,0.11,0.09,0.11,Partidos
69,Álvaro Bravo,es ESP,CC,Granada,22,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
70,Claudio Bravo,cl CHI,PO,Betis,37,1983,20,20,1800,20.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
71,Yan Brice Eteki,cm CMR,CC,Granada,22,1997,25,16,1321,14.7,0,0,0,0,0,0,4,1,0.3,0.3,0.1,0.4,0,24,9,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
72,Juan Brunet,ar ARG,CC,Granada,22,1998,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
73,Ante Budimir,hr CRO,DL,Osasuna,29,1991,30,18,1625,18.1,11,0,11,11,0,0,3,0,9.2,9.2,0.8,10.0,14,29,103,0.61,0.00,0.61,0.61,0.61,0.51,0.04,0.55,0.51,0.55,Partidos
74,Esteban Burgos,ar ARG,DF,Eibar,28,1992,14,12,1111,12.3,3,1,4,1,2,3,5,0,3.3,1.0,0.8,1.8,4,25,0,0.24,0.08,0.32,0.08,0.16,0.27,0.07,0.34,0.08,0.15,Partidos
75,Burgui,es ESP,CC,Alavés,26,1993,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
76,Sergio Busquets,es ESP,CC,Barcelona,32,1988,36,32,2517,28.0,0,5,5,0,0,0,9,0,0.3,0.3,3.2,3.4,25,254,29,0.00,0.18,0.18,0.00,0.18,0.01,0.11,0.12,0.01,0.12,Partidos
77,Erick Cabaco,uy URU,DF,Getafe,25,1995,20,15,1326,14.7,0,0,0,0,0,0,9,0,0.5,0.5,0.0,0.5,6,44,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
